P_CODE,FOKONTANY_,FKT_BNGRC_,C_FKT_BNGR,COM_PCODE,C_CODE_BNG,COMMUNE_NA,BNGRC_COM_,DIST_PCODE,DISTRICT_N,BNGRC_D_CO,BNGRC_DIS_,DIS_FKT,REG_PCODE,REGION_NAM,BNGRC_R_CO,BNGRC_REG_,REG_FKT_SH,PROV_CODE,OLD_PROVIN,MILIEU,OLD_DISTRI,SOURCE,Shape_Leng,Shape_Area,POP_GEOAPP,POP_GEOA_1,POP_GEOA_2,POP_GEOA_3,POP_GEOA_4,POP_GEOA_5,POP_GEOA_6,POP_GEOA_7,POP_GEOA_8,POP_GEOA_9,POP_GEOA10,POP_GEOA11,POP_GEOA12,POP_GEOA13,POP_GEOA14,POP_GEOA15,POP_GEOA16,POP_GEOA17,POP_GEOA18,name,liste_hopital,nb_hopital
MDG11107290001,Androvakely,ANDROVAKELY,"107290001",MDG11107290,"107290",Androvakely,ANDROVAKELY,MDG11107,Anjozorobe,126.00000000000,ANJOZOROBE,ANJOZOROBE,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.12698540660,0.00045109256,MG,Madagascar,MG54,Menabe,MG54508,Morondava,MG54508059,Bemanonga,MG54508059022,850.000000000000000,873.000000000000000,897.000000000000000,922.000000000000000,947.000000000000000,973.000000000000000,999.000000000000000,1026.000000000000000,1054.000000000000000,1082.000000000000000,,,0
MDG11103410005,Satrokoditra,SATROKODITRA,"103410005",MDG11103410,"103410",Anjanadoria,ANJANADORIA,MDG11103,Ambohidratrimo,116.00000000000,AMBOHIDRATRIMO,AMBOHIDRATRIMO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.11946377310,0.00082646722,MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,MG11103410,Anjanadoria,MG11103410005,501.000000000000000,515.000000000000000,529.000000000000000,543.000000000000000,558.000000000000000,573.000000000000000,589.000000000000000,605.000000000000000,621.000000000000000,638.000000000000000,,,0
MDG11103410007,Antetezankazo,ANTETEZANKAZO,"103410007",MDG11103410,"103410",Anjanadoria,ANJANADORIA,MDG11103,Ambohidratrimo,116.00000000000,AMBOHIDRATRIMO,AMBOHIDRATRIMO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.10539272277,0.00055620135,MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,MG11103410,Anjanadoria,MG11103410007,238.000000000000000,245.000000000000000,251.000000000000000,258.000000000000000,265.000000000000000,272.000000000000000,280.000000000000000,287.000000000000000,295.000000000000000,303.000000000000000,,,0
MDG11103410004,Andranomaintso,ANDRANOMAINTSO,"103410004",MDG11103410,"103410",Anjanadoria,ANJANADORIA,MDG11103,Ambohidratrimo,116.00000000000,AMBOHIDRATRIMO,AMBOHIDRATRIMO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.16478221791,0.00115152532,MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,MG51512011,Sakaraha,MG51512011008,911.000000000000000,936.000000000000000,962.000000000000000,988.000000000000000,1015.000000000000000,1043.000000000000000,1071.000000000000000,1100.000000000000000,1129.000000000000000,1160.000000000000000,,,0
MDG11103410003,Ambohimarina,AMBOHIMARINA,"103410003",MDG11103410,"103410",Anjanadoria,ANJANADORIA,MDG11103,Ambohidratrimo,116.00000000000,AMBOHIDRATRIMO,AMBOHIDRATRIMO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.24665011458,0.00244046536,MG,Madagascar,MG72,Sava,MG72712,Andapa,MG72712230,Ambodiangezoka,MG72712230014,2276.000000000000000,2339.000000000000000,2403.000000000000000,2469.000000000000000,2536.000000000000000,2605.000000000000000,2675.000000000000000,2748.000000000000000,2822.000000000000000,2898.000000000000000,,,0
MDG11103150001,Mahitsy,MAHITSY,"103150001",MDG11103150,"103150",Mahitsy,MAHITSY,MDG11103,Ambohidratrimo,116.00000000000,AMBOHIDRATRIMO,AMBOHIDRATRIMO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.04954269793,0.00010660114,MG,Madagascar,MG13,Itasy,MG13105,Arivonimamo,MG13105190,Ambatomanga,MG13105190012,882.000000000000000,906.000000000000000,931.000000000000000,957.000000000000000,983.000000000000000,1009.000000000000000,1037.000000000000000,1065.000000000000000,1093.000000000000000,1123.000000000000000,CSB II Mahitsy,"Pharmacie la Référence, Pharmacie de Mahitsy, CSB II Mahitsy",3
MDG11103390001,Ambato,AMBATO,"103390001",MDG11103390,"103390",Ambato,AMBATO,MDG11103,Ambohidratrimo,116.00000000000,AMBOHIDRATRIMO,AMBOHIDRATRIMO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.18211323351,0.00122365942,MG,Madagascar,MG72,Sava,MG72711,Sambava,MG72711371,Amboangibe,MG72711371004,610.000000000000000,627.000000000000000,644.000000000000000,662.000000000000000,680.000000000000000,698.000000000000000,717.000000000000000,736.000000000000000,756.000000000000000,777.000000000000000,Centre de Santé de Base Niveau II Ambato,Centre de Santé de Base Niveau II Ambato,1
MDG11101006029,Ambodihady,AMBODIHADY,"101006029",MDG11101006,"101006",6e Arrondissement,6E ARRONDISSEMENT,MDG11101006,6e Arrondissement,106.00000000000,6E ARRONDISSEMENT,6E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.06770953787,0.00018992968,MG,Madagascar,MG22,Amoron I Mania,MG22204,Fandriana,MG22204050,Sahamadio Fisakana,MG22204050008,508.000000000000000,522.000000000000000,536.000000000000000,551.000000000000000,566.000000000000000,581.000000000000000,597.000000000000000,613.000000000000000,630.000000000000000,647.000000000000000,,", Clinique NOA, ",3
MDG11101003033,Ampahibe,AMPAHIBE,"101003033",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.03568998421,0.00005069384,MG,Madagascar,MG32,Analanjirofo,MG32315,Vavatenina,MG32315070,Ampasimazava,MG32315070003,1249.000000000000000,1283.000000000000000,1319.000000000000000,1355.000000000000000,1392.000000000000000,1430.000000000000000,1468.000000000000000,1508.000000000000000,1548.000000000000000,1590.000000000000000,CRTM-OI,"Centre médical de Diagnostiques et d'Urgences, Clinique Aina, orthoptie, CRTM-OI, ",4
MDG11101001012,Andavamamba Anjezika I,ANDAVAMAMBA ANJEZIKA I,"101001012",MDG11101001,"101001",1er Arrondissement,1ER ARRONDISSEMENT,MDG11101001,1er Arrondissement,101.00000000000,1ER ARRONDISSEMENT,1ER ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.02286439171,0.00002193470,MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001012,9282.000000000000000,9538.000000000000000,9801.000000000000000,10069.000000000000000,10343.000000000000000,10624.000000000000000,10911.000000000000000,11205.000000000000000,11508.000000000000000,11818.000000000000000,Dispensaire Fianakaviana Masina Ecar Anatihazo CSB II,Dispensaire Fianakaviana Masina Ecar Anatihazo CSB II,1
MDG11101004025,Anosizato Atsinanana I,ANOSIZATO ATSINANANA I,"101004025",MDG11101004,"101004",4e Arrondissement,4E ARRONDISSEMENT,MDG11101004,4e Arrondissement,104.00000000000,4E ARRONDISSEMENT,4E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.05788117585,0.00007985087,MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004025,11732.000000000000000,12056.000000000000000,12387.000000000000000,12727.000000000000000,13073.000000000000000,13428.000000000000000,13790.000000000000000,14163.000000000000000,14545.000000000000000,14938.000000000000000,Pharmacie Volahanta,"NAJMI PHARMA, Sage-femme Miora, Clinique Médicale Mahefa, , Pharmacie Volahanta",5
MDG11106271001,Ambohitseheno,AMBOHITSEHENO,"106271001",MDG11106271,"106271",Ambohitseheno,AMBOHITSEHENO,MDG11106,Manjakandriana,184.00000000000,MANJAKANDRIANA,MANJAKANDRIANA,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.14247401037,0.00064180431,MG,Madagascar,MG13,Itasy,MG13105,Arivonimamo,MG13105190,Ambatomanga,MG13105190018,760.000000000000000,781.000000000000000,802.000000000000000,824.000000000000000,847.000000000000000,870.000000000000000,893.000000000000000,917.000000000000000,942.000000000000000,968.000000000000000,CSB II Ambohitseheno,CSB II Ambohitseheno,1
MDG11101001039,Fiata,FIATA,"101001039",MDG11101001,"101001",1er Arrondissement,1ER ARRONDISSEMENT,MDG11101001,1er Arrondissement,101.00000000000,1ER ARRONDISSEMENT,1ER ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.02248053908,0.00002273236,MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001039,6194.000000000000000,6365.000000000000000,6540.000000000000000,6719.000000000000000,6902.000000000000000,7089.000000000000000,7281.000000000000000,7477.000000000000000,7679.000000000000000,7887.000000000000000,CSS/CSB 2 Tsaralalana,"OSTIE Ampasamadinika, Angeline Medical Institute, CSS/CSB 2 Tsaralalana",3
MDG11106030014,Ankadimanga,ANKADIMANGA,"106030014",MDG11106030,"106030",Sambaina,SAMBAINA,MDG11106,Manjakandriana,184.00000000000,MANJAKANDRIANA,MANJAKANDRIANA,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.08788638448,0.00022421152,MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,MG11106030,Sambaina,MG11106030014,605.000000000000000,622.000000000000000,639.000000000000000,656.000000000000000,674.000000000000000,692.000000000000000,711.000000000000000,730.000000000000000,750.000000000000000,770.000000000000000,CSB I Ankadimanga,CSB I Ankadimanga,1
